timestamp,node,name,seq,vrms,irms,p,rssi,snr,ferr,status
2026-06-27 13:34:19,1,NODO_1,3507,220.5,3.25,716.63,-34.0,13.25,-209.25,OK
2026-06-27 13:34:21,2,NODO_2,3509,219.8,1.8,395.64,-45.0,12.0,23.25,OK
2026-06-27 13:34:21,1,NODO_1,3508,220.5,3.25,716.63,-33.0,12.25,-193.75,OK
2026-06-27 13:34:23,2,NODO_2,3510,219.8,1.8,395.64,-48.0,13.0,23.25,OK
2026-06-27 13:34:23,1,NODO_1,3509,220.5,3.25,716.63,-33.0,12.75,-209.25,OK
2026-06-27 13:34:25,2,NODO_2,3511,219.8,1.8,395.64,-47.0,12.25,23.25,OK
2026-06-27 13:34:25,1,NODO_1,3510,220.5,3.25,716.63,-33.0,12.25,-193.75,OK
2026-06-27 13:34:27,2,NODO_2,3512,219.8,1.8,395.64,-45.0,12.5,23.25,OK
2026-06-27 13:34:27,1,NODO_1,3511,220.5,3.25,716.63,-34.0,12.5,-193.75,OK
2026-06-27 13:34:29,2,NODO_2,3513,219.8,1.8,395.64,-45.0,12.25,23.25,OK
2026-06-27 13:34:29,1,NODO_1,3512,220.5,3.25,716.63,-33.0,12.25,-209.25,OK
2026-06-27 13:34:31,2,NODO_2,3514,219.8,1.8,395.64,-45.0,12.5,23.25,OK
2026-06-27 13:34:31,1,NODO_1,3513,220.5,3.25,716.63,-33.0,12.5,-193.75,OK
2026-06-27 13:34:33,2,NODO_2,3515,219.8,1.8,395.64,-48.0,13.0,23.25,OK
2026-06-27 13:34:33,1,NODO_1,3514,220.5,3.25,716.63,-31.0,12.0,-193.75,OK
2026-06-27 13:34:35,2,NODO_2,3516,219.8,1.8,395.64,-45.0,12.75,23.25,OK
2026-06-27 13:34:35,1,NODO_1,3515,220.5,3.25,716.63,-31.0,13.25,-193.75,OK
2026-06-27 13:34:37,2,NODO_2,3517,219.8,1.8,395.64,-46.0,12.25,23.25,OK
2026-06-27 13:34:37,1,NODO_1,3516,220.5,3.25,716.63,-33.0,12.25,-209.25,OK
2026-06-27 13:34:39,2,NODO_2,3518,219.8,1.8,395.64,-39.0,12.75,23.25,OK
2026-06-27 13:34:39,1,NODO_1,3517,220.5,3.25,716.63,-35.0,12.5,-193.75,OK
2026-06-27 13:34:41,2,NODO_2,3519,219.8,1.8,395.64,-39.0,12.0,23.25,OK
2026-06-27 13:34:41,1,NODO_1,3518,220.5,3.25,716.63,-41.0,12.75,-193.75,OK
2026-06-27 13:34:43,2,NODO_2,3520,219.8,1.8,395.64,-39.0,12.0,23.25,OK
2026-06-27 13:34:43,1,NODO_1,3519,220.5,3.25,716.63,-41.0,12.0,-209.25,OK
2026-06-27 13:34:45,2,NODO_2,3521,219.8,1.8,395.64,-37.0,12.0,23.25,OK
2026-06-27 13:34:45,1,NODO_1,3520,220.5,3.25,716.63,-30.0,13.0,-209.25,OK
2026-06-27 13:34:47,2,NODO_2,3522,219.8,1.8,395.64,-38.0,13.25,7.75,OK
2026-06-27 13:34:47,1,NODO_1,3521,220.5,3.25,716.63,-39.0,12.25,-193.75,OK
2026-06-27 13:34:49,2,NODO_2,3523,219.8,1.8,395.64,-40.0,12.5,23.25,OK
2026-06-27 13:34:49,1,NODO_1,3522,220.5,3.25,716.63,-40.0,12.5,-209.25,OK
2026-06-27 13:34:51,2,NODO_2,3524,219.8,1.8,395.64,-39.0,12.0,23.25,OK
2026-06-27 13:34:51,1,NODO_1,3523,220.5,3.25,716.63,-41.0,13.0,-193.75,OK
2026-06-27 13:34:53,2,NODO_2,3525,219.8,1.8,395.64,-39.0,11.75,7.75,OK
2026-06-27 13:34:53,1,NODO_1,3524,220.5,3.25,716.63,-42.0,13.5,-193.75,OK
2026-06-27 13:34:55,2,NODO_2,3526,219.8,1.8,395.64,-39.0,12.5,7.75,OK
2026-06-27 13:34:55,1,NODO_1,3525,220.5,3.25,716.63,-42.0,12.5,-193.75,OK
2026-06-27 13:34:57,2,NODO_2,3527,219.8,1.8,395.64,-39.0,11.75,23.25,OK
2026-06-27 13:34:57,1,NODO_1,3526,220.5,3.25,716.63,-46.0,13.25,-193.75,OK
2026-06-27 13:34:59,2,NODO_2,3528,219.8,1.8,395.64,-40.0,12.0,23.25,OK
2026-06-27 13:34:59,1,NODO_1,3527,220.5,3.25,716.63,-45.0,12.0,-193.75,OK
2026-06-27 13:35:01,2,NODO_2,3529,219.8,1.8,395.64,-39.0,12.25,7.75,OK
2026-06-27 13:35:01,1,NODO_1,3528,220.5,3.25,716.63,-49.0,12.5,-209.25,OK
2026-06-27 13:35:03,2,NODO_2,3530,219.8,1.8,395.64,-39.0,12.0,23.25,OK
2026-06-27 13:35:03,1,NODO_1,3529,220.5,3.25,716.63,-30.0,12.75,-193.75,OK
2026-06-27 13:35:05,2,NODO_2,3531,219.8,1.8,395.64,-37.0,12.25,23.25,OK
2026-06-27 13:35:05,1,NODO_1,3530,220.5,3.25,716.63,-38.0,13.0,-209.25,OK
2026-06-27 13:35:07,2,NODO_2,3532,219.8,1.8,395.64,-36.0,12.5,23.25,OK
2026-06-27 13:35:07,1,NODO_1,3531,220.5,3.25,716.63,-34.0,12.5,-193.75,OK
2026-06-27 13:35:09,2,NODO_2,3533,219.8,1.8,395.64,-40.0,12.5,23.25,OK
2026-06-27 13:35:09,1,NODO_1,3532,220.5,3.25,716.63,-48.0,12.75,-193.75,OK
2026-06-27 13:35:11,2,NODO_2,3534,219.8,1.8,395.64,-40.0,12.5,23.25,OK
2026-06-27 13:35:11,1,NODO_1,3533,220.5,3.25,716.63,-44.0,12.0,-193.75,OK
2026-06-27 13:35:13,2,NODO_2,3535,219.8,1.8,395.64,-40.0,12.25,23.25,OK
2026-06-27 13:35:13,1,NODO_1,3534,220.5,3.25,716.63,-42.0,12.75,-193.75,OK
2026-06-27 13:35:15,2,NODO_2,3536,219.8,1.8,395.64,-40.0,13.0,23.25,OK
2026-06-27 13:35:15,1,NODO_1,3535,220.5,3.25,716.63,-40.0,12.75,-209.25,OK
